level_0,index,ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher
0,0,0002005018,clara callan,b wright,2001,canada
1,1,0374157065,flu stori great influenza pandem one thousand nine hundr eighteen search viru cau,b kolata,1999,farrar
2,2,0399135782,kitchen god wife,tan,1991,putnam
3,3,0440234743,testament,g john,1999,dell
4,4,0452264464,belov plume contemporari fiction,toni,1994,plume
5,5,0609804618,dumb centuri onion present one hundr year headlin america finest news sourc,onion,1999,river
6,6,1841721522,new vegetarian bold beauti recip everi occa,b celia,2001,small
7,7,0971880107,wild animu,r shapero,2004,far
8,8,0345402871,airfram,c michael,1997,ballantine
9,9,0345417623,timelin,c michael,2000,ballantine
10,10,0375759778,pragu novel,phillips,2003,random
11,11,0375406328,lie awak,salzman,2000,knopf
12,12,0446310786,kill mockingbird,h lee,1988,company
13,13,0449005615,seabiscuit american legend,h laura,2002,ballantine
14,14,0060168013,pig heaven,b kingsolver,1993,harpercollin
15,15,0061099686,downtown,siddons,1995,harpertorch
16,16,0553582909,icebound,r,2000,bantam
17,17,0671888587,ill see,c mary,1994,pocket
18,18,0553582747,corner eye,koontz,2001,bantam
19,19,0425182908,isl dog,c patricia,2002,berkley
20,20,042518630X,puriti death,j robb,2002,berkley
21,21,0440223571,year differ stori,b maeve,1997,dell
22,22,0842342702,left behind novel earth last day left behind one,l tim,2000,publisher
23,23,0440225701,street lawyer,g john,1999,dell
24,24,0060914068,love medicin miracl,b siegel,1988,harpercollin
25,25,0380715899,soldier great war,h mark,1992,avon
26,26,0671623249,lonesom dove,l mcmurtry,1986,pocket
27,27,0679810307,shabanu daughter wind border trilog,f staples,1991,leaf
28,28,0679865691,laurel leaf book,f staples,1995,leaf
29,29,042511774X,breath lesson,tyler,1994,berkley
30,30,0804106304,joy luck club,tan,1994,hall
31,31,1853260053,te durbervil wordsworth classic,h thomas,1997,company
32,32,0060938412,accid virgin,f valerie,2003,avon
33,33,0140067477,tao pooh,b hoff,1983,penguin
34,34,0345465083,seabiscuit,h laura,2003,ballantine
35,35,1558531025,life littl instruct book life littl instruct book paperback,b jackson,1991,thoma
36,36,0441783589,starship trooper,h robert,1987,ace
37,37,0394895894,rubi smoke salli lockhart trilog book one,p pullman,1988,leaf
38,38,0375410538,anil ghost,ondaatje,2000,knopf
39,39,087113375X,modern manner etiquett book rude peopl,j p,1990,atlantic
40,40,0340767936,turn thirti,g mike,2000,hodder
41,41,0316769487,catcher rye,j salinger,1991,little
42,42,8445071408,el senor de lo anillo la comunidad del anillo lord ring spanish,j tolkien,2001,minotauro
43,43,8445071769,el senor de lo anillo la torr lord ring paperback,j tolkien,2001,minotauro
44,44,8445071777,el senor de lo anillo el retorno del rey tolkien j r r lord ring three,j tolkien,2001,distribook
45,45,0679429220,midnight garden good evil savannah stori,b john,1994,random
46,46,0671867156,pretend see,c mary,1998,pocket
47,47,0312252617,fast woman,c jennifer,2001,martin
48,48,0312261594,femal intellig,h jane,2001,martin
49,49,0316748641,pasqual nose idl day italian town,rips,2002,bay
50,50,0446677450,rich dad poor dad rich teach kid money poor middl class,k robert,2000,warner
51,51,0451166892,pillar earth,f ken,1996,signet
52,52,067976397X,corelli mandolin novel,b louis,1995,vintage
53,53,0786868716,five peopl meet heaven,mitch,2003,hyperion
54,54,0671864769,relic star trek next gener,f michael,1992,star
55,55,0312953453,blood oath,morrell,1994,martin
56,56,0446608653,alibi,b sandra,2000,warner
57,57,0446612545,beach hou,j patterson,2003,warner
58,58,0446612618,kiss rememb,b sandra,2003,warner
