User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,User-City,User-State,User-Age,User-Country
276762,3453092007,8,die zweit haut,d koontz,1995,n,duisburg,nordrheinwestfalen,25,germany
35433,3453092007,8,die zweit haut,d koontz,1995,n,wangen,zrich,40,switzerland
35433,3404141849,7,intens,d koontz,1999,l,wangen,zrich,40,switzerland
35433,3442440904,6,neandert tal de leben,d john,1998,n,wangen,zrich,40,switzerland
35433,3426617048,9,y2k der letzt tag der roman der jahrtausendwend,j mark,1999,n,wangen,zrich,40,switzerland
35433,3426618672,9,da druidentor,h wolfgang,2003,n,wangen,zrich,40,switzerland
35433,3442352355,6,zeit der vergeltung,s sheldon,2000,n,wangen,zrich,40,switzerland
35433,3442414806,7,teuflisch,d lindsey,1995,n,wangen,zrich,40,switzerland
35433,3442439973,7,da erb,s sheldon,1998,n,wangen,zrich,40,switzerland
35433,3442451140,7,der medicu von saragossa,g noah,2001,n,wangen,zrich,40,switzerland
35433,3442454840,8,der diamant de salomon,g noah,2003,n,wangen,zrich,40,switzerland
35433,3453124499,10,schlaflo insomnia,k stephen,1997,n,wangen,zrich,40,switzerland
35433,345312507X,8,ehrenschuld,c tom,1997,n,wangen,zrich,40,switzerland
35433,3453137140,7,die safranhã ãâ¤ndlerin,g helga,1998,n,wangen,zrich,40,switzerland
35433,3453160819,9,sara,k stephen,1999,n,wangen,zrich,40,switzerland
35433,3453211014,8,kaltgestellt,c forbes,2002,n,wangen,zrich,40,switzerland
35433,3453503384,9,alptrã ãâ¤ume nightmar dreamscap,k stephen,1995,n,wangen,zrich,40,switzerland
35433,3548254152,7,duddit dreamcatch,k stephen,2002,e,wangen,zrich,40,switzerland
152805,3453092007,8,die zweit haut,d koontz,1995,n,berlin,berlin,30,germany
35407,3442136644,8,endlich nichtrauch,a carr,1992,n,gtersloh,nordrheinwestfalen,48,germany
35407,3502517959,4,die spinn und da mã ãâ¤dchen,s schallingher,2001,e,gtersloh,nordrheinwestfalen,48,germany
35407,3442426677,8,die grastã ãâ¤nzer,p susan,1997,n,gtersloh,nordrheinwestfalen,48,germany
35407,325721538X,6,ã ã rger mit produkt x roman,a joan,1987,e,gtersloh,nordrheinwestfalen,48,germany
35407,3442117496,7,da erlebni der wiedergeburt heilung durch reinkarn,d thorwald,2000,n,gtersloh,nordrheinwestfalen,48,germany
35407,3442420156,8,die werbung roman,r rendell,1993,n,gtersloh,nordrheinwestfalen,48,germany
