User-ID,User-City,User-State,User-Age,User-Country,User-Decade
8,timmins,ontario,21,canada,2
9,germantown,tennessee,33,united states,3
16,albuquerque,new mexico,21,united states,2
17,chesapeake,virginia,32,united states,3
26,bellevue,washington,33,united states,3
32,portland,oregon,37,united states,3
39,cary,north carolina,17,united states,1
42,appleton,wisconsin,17,united states,1
44,black mountain,north carolina,51,united states,5
51,renton,washington,34,united states,3
53,tacoma,washington,72,united states,7
56,cheyenne,wyoming,24,united states,2
69,vancouver,british columbia,25,canada,2
73,wentzville,missouri,53,united states,5
75,long beach,california,37,united states,3
78,oakland,california,18,united states,1
81,santa cruz,california,21,united states,2
83,eugene,oregon,36,united states,3
85,london,england,41,united kingdom,4
97,mechanicsburg,pennsylvania,37,united states,3
99,franktown,colorado,42,united states,4
107,lethbridge,alberta,23,canada,2
114,ligonier,pennsylvania,57,united states,5
125,lansing,michigan,49,united states,4
129,bloomington,minnesota,47,united states,4
165,olympia,washington,62,united states,6
169,arlington,virginia,35,united states,3
178,rexford,new york,28,united states,2
185,baton rouge,louisiana,17,united states,1
202,ottawa,ontario,28,canada,2
212,manila,na,21,philippines,2
224,strafford,missouri,67,united states,6
226,new york,new york,50,united states,5
228,ann arbor,michigan,41,united states,4
230,ny,new york,19,united states,1
232,mumbai,maharashtra,16,india,1
242,neuffen,badenwuerttemberg,37,germany,3
243,arden hills,minnesota,56,united states,5
244,college station,texas,55,united states,5
254,minneapolis,minnesota,24,united states,2
256,boston,massachusetts,35,united states,3
272,walla walla,washington,20,united states,2
280,yakima,washington,29,united states,2
291,ft collins,colorado,14,united states,1
300,newport news,virginia,47,united states,4
326,parkville,missouri,45,united states,4
332,lake oswego,oregon,59,united states,5
334,jyvskyl,na,27,finland,2
337,mlaga,na,17,spain,1
339,tampere,pirkanmaa,20,finland,2
356,leesburg,virginia,57,united states,5
361,premi de dalt,barcelona,25,spain,2
362,thunder bay,ontario,63,canada,6
367,culver city,california,45,united states,4
372,bamberg,bayern,22,germany,2
383,carmichael,california,34,united states,3
387,charity,missouri,17,united states,1
388,nashville,tennessee,35,united states,3
408,mountain view,california,17,united states,1
413,naperville,illinois,17,united states,1
424,portland,oregon,29,united states,2
430,silver spring,maryland,18,united states,1
431,ridgway,pennsylvania,40,united states,4
433,smock,pennsylvania,48,united states,4
440,brookfield,wisconsin,16,united states,1
441,spokane,washington,28,united states,2
444,sweet home,oregon,40,united states,4
446,chevy chase,dc,42,united states,4
453,charleston,west virginia,24,united states,2
460,roma,italy,30,italy,3
476,rome,new york,46,united states,4
486,portland,oregon,31,united states,3
487,houston,texas,25,united states,2
493,manhattan,kansas,29,united states,2
494,parry sound,ontario,34,canada,3
496,west salem,wisconsin,51,united states,5
499,la verne,california,62,united states,6
503,el centro,california,40,united states,4
505,washington,dc,51,united states,5
507,dumas,arkansas,38,united states,3
508,portland,oregon,29,united states,2
512,winter springs,florida,58,united states,5
513,savannah,georgia,16,united states,1
523,bozeman,montana,19,united states,1
565,franklin,tennessee,48,united states,4
566,springfield,illinois,31,united states,3
567,spokane,washington,25,united states,2
592,boston,massachusetts,53,united states,5
595,hollywood,florida,17,united states,1
596,san francisco,california,49,united states,4
619,long beach,mississippi,38,united states,3
620,toronto,ontario,45,canada,4
625,marseille,provence,41,france,4
626,graz,steiermark,41,austria,4
628,berlin,berlin,43,germany,4
638,san diego,california,20,united states,2
639,washington dc,virginia,28,united states,2
640,scotch village,nova scotia,32,canada,3
