level_0,index,ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher
0,0,1558746218,second chicken soup woman soul chicken soup soul seri,c jack,1998,communication
1,1,0684823802,silent planet,c lewis,1996,scribner
2,2,0425163091,chocol jesu,j stephan,1998,berkley
3,3,0156047624,king men,p warren,1982,harvest
4,4,0345260317,dragon eden specul evolut human intellig,c sagan,1978,ballantine
5,5,1569871213,black beauti illustr classic,sewell,1995,landoll
6,6,0553347594,mcdonald behind arch,f love,1995,bantam
7,7,0671521519,bless beast child bless beast child,g swarthout,1995,pocket
8,8,9724119378,deu da pequena coisa,roy,1998,edicoe
9,9,0345425294,gangster,c lorenzo,2002,fawcett
10,10,0061030147,cybil disobedi surviv beauti pageant elvi sex bruce willi lie marriag motherhood hollywood irrepress urg say think,c shepherd,2001,avon
11,11,0140250964,snow angel,stewart,1995,penguin
12,12,3150000335,kabal und lieb,schiller,1980,verlag
13,13,3257203659,der illustriert mann erzã ãâ¤hlungen,b ray,2002,diogene
14,14,0345433173,tall pine polka,l landvik,1999,ballantine
15,15,034543191X,king elfland daughter del rey impact,plunkett,1999,del
16,16,0373836023,powder patch,g heyer,2004,harlequin
17,17,0375823352,amber spyglass dark materi book three,p pullman,2002,knopf
18,18,0486415864,great expect dover thrift edit,c dickens,2001,dover
19,19,1401201172,leagu extraordinari gentleman vol two comic,moore,2003,comic
20,20,0670856045,tortilla curtain,b coraghessan,1995,viking
21,21,0345430476,small dark place,schenk,1999,ballantine
22,22,0671018930,war heaven etern warrior,b theodore,2000,pocket
23,23,1559703237,tri save piggi sneed,john,1996,arcade
24,24,0449202631,danger,francis,1985,fawcett
25,25,0590450875,spi book pictur riddl,j marzollo,1992,scholastic
26,26,0140345809,hou stair,william,1991,puffin
27,27,156718796X,astral travel beginn beginn,r webster,1998,llewellyn
28,28,0198320264,juliu caesar oxford school shakespear,william,2001,university
29,29,0373196989,santa brought son marri bo daughter silhouett romanc one thousand six hundr nineti eight,mcclone,2003,silhouette
30,30,039456894X,imposs vacat,g spalding,1992,random
31,31,0375414746,clear,g tim,2003,knopf
32,32,0812523385,select poem emili dickinson,emily,1995,tor
33,33,0679733825,sister earth woman prose poetri natur,lorraine,1991,vintage
34,34,887641486X,giorni dellabbandono,e ferrante,2002,edizioni
35,35,080521061X,montessori today comprehen approach educ birth adulthood,l polk,1996,schocken
36,36,0375403582,rule wild,f marciano,1998,random
37,37,0553225987,robert rule order,e william,1986,bantam
38,38,0439061644,first journey animorph alternamorph one,k,1999,apple
39,39,0449211770,tightrop walker,gilman,1997,fawcett
40,40,0312312628,deep cri clare fergusson ru van alstyn mysteri,f spencer,2004,martin
41,41,0380709260,sock cleari reissu,b cleary,1990,harpertrophy
42,42,0449209121,amaz mr pollifax,gilman,1992,fawcett
43,43,006015781X,clock run clockwi impond mysteri everyday life explain,feldman,1987,harpercollin
44,44,1576737357,diari teenag girl becom diari number one diari teenag girl,c melody,2000,multnomah
45,45,0061080519,mist magic harper monogram,wiggs,1993,paperback
46,46,0425169626,wake dead,spencer,2000,berkley
47,47,0399147012,edg danger,h jack,2001,putnam
48,48,0060192631,one heart,j mccafferty,1999,publisher
49,49,0345428900,blue,sally,2000,ballantine
50,50,0446602086,proud free,janet,1995,warner
51,51,0140253580,therapi,lodge,1996,penguin
52,52,057120354X,aw end eddi dicken trilog,philip,2000,children
53,53,0140292918,mou men steinbeck essenti,j steinbeck,2001,penguin
54,54,0747538069,adventur dougal,e thompson,1998,bloomsbury
55,55,0962893862,return isi,j stewart,1992,rising
56,56,1563410443,skin talk sex class literatur,dorothy,1994,firebrand
57,57,0553579681,night mare,scott,1999,crimeline
58,58,0553574167,hutt gambit star war han solo trilog vol two,c crispin,1998,bantam
59,59,0312977905,catch cat,b marian,2002,martin
60,60,0689832877,sunw aladdin fantasi,k oppel,2001,aladdin
61,61,0064409457,silver chair full color narnia,c lewis,2000,harpertrophy
62,62,0152162445,high wizardri third book young wizard seri,duane,2001,magic
63,63,0439221676,glitter avalon two,r roberts,2001,scholastic
64,64,0440415993,tie bind tie break laurel leaf book,l namioka,2000,leaf
65,65,0590514776,meet star buffi vampir slayer,scott,1998,scholastic
66,66,0451527038,call wild select stori signet classic paperback,j london,1998,signet
67,67,0345341201,sin omiss,f michaels,1989,ivy
68,68,0440175623,random wind,b plain,1987,dell
69,69,0911104542,cat kat n,b kliban,1975,workman
70,70,158574218X,common phrase come,j mordock,2001,lyon
71,71,3492229336,die meut der erben,g hauptmann,1999,piper
72,72,3423009152,der geteilt himmel,c wolf,1994,verlag
73,73,3596133319,helden wie wir,b thomas,1998,fischer
74,74,0345298985,one tree donaldson stephen r second chronicl thoma coven bk two,stephen,1982,ballantine
75,75,034531042X,wound land second chronicl thoma coven,stephen,1981,del
76,76,034531011X,lord foul bane chronicl thoma coven unbeliev book one,stephen,1978,del
77,77,0451130448,exocet,h jack,1984,penguin
78,78,0805008950,track,e louise,1988,smithmark
79,79,3453863593,shadowrun deutschland den schatten,joachim,2003,heyne
80,80,0451450604,union forev lost regiment number,f william,1997,roc
81,81,0441001335,callahan touch,r spider,1996,ace
82,82,0553801031,new rabbi congreg search leader,f stephen,2002,bantam
83,83,0766607119,littl woman treasuri illustr classic,may,2003,modern
84,84,044100962X,myth ion improb myth book,robert,2002,ace
85,85,0517006456,eve rib,b chandler,1988,random
86,86,0786867086,search america,b tod,2002,hyperion
87,87,0756401453,wild magic fool gold book two,f jude,2003,daw
88,88,0399242562,shadowmanc,g taylor,2004,putnam
89,89,0708881297,dinosaur planet two survivor,mccaffrey,1996,warner
90,90,0575073004,nightchild gollancz sf,b james,2002,gollancz
91,91,1578562333,eye see kirkpatrick jane kinship courag histor seri bk two,j kirkpatrick,2001,waterbrook
92,92,0802433243,wind rememb,schalesky,2003,publisher
93,93,0895773538,world fascin journey world human ingenu,readers,1990,reader
94,94,031227999X,emot weird novel,kate,2001,picador
95,95,0451409086,threat vector,michael,2000,onyx
96,96,0671522817,braveheart,r wallace,1995,pocket
97,97,0671318314,callahan ladi,r spider,2001,baen
98,98,0553568183,blue moon,l rice,1994,bantam
99,99,0451526295,mansfield park signet classic paperback,jane,1996,signet
100,100,0380725398,jamaica inn,maurier,1995,avon
101,101,0451402103,bitter blood true stori southern famili pride mad multipl murder,b jerry,1997,onyx
102,102,0671701053,thing beauti,f stephen,1994,pocket
103,103,0440217806,secret ceremoni mormon woman intim diari marriag beyond,laake,1994,company
104,104,0373711123,anoth man wife,r winters,2003,harlequin
105,105,0373226519,blink eye taylor clan harlequin intrigu six hundr fifti one,j miller,2002,harlequin
106,106,0880387300,shadowd forgotten realm avatar trilog book one,c scott,1989,wizard
107,107,2266000489,la nuit de temp,b rene,1979,de
108,108,0590629824,captur animorph paperback number,katherine,1997,scholastic
109,109,0312205872,slightli chip footnot booklor,g lawrence,1999,martin
110,110,0440177499,snow queen,j vinge,1984,bantam
111,111,1575666529,wed day murder luci stone mysteri meier lesli luci stone mysteri,l meier,2001,corporation
112,112,0786014210,dark,siciliano,2001,corporation
113,113,0425172554,primari target,j weber,1999,berkley
114,114,0330357808,marilyn almost termin new york adventur,e justine,1996,picador
115,115,0676974562,aton,mcewan,2002,random
116,116,0312964854,hush littl babi true stori mother murder child st martin true crime librari,davis,1997,martin
117,117,0684863324,garden dune novel,l silko,2000,simon
118,118,3596113350,die mambo king spielen song der lieb roman,h oscar,1992,fischer
119,119,0380706725,fg cook american,j smith,1990,avon
120,120,1884822738,big littl book irish wit wisdom six volum one irish bless irish toast irish proverb irish riddl irish law irish wisdom,f kelly,1997,publisher
121,121,0140004424,brighton rock,g greene,1970,penguin
122,122,037541181X,venetian affair,robilant,2003,knopf
123,123,0671698419,border infin,b mcmaster,1989,baen
124,124,0553343874,emmanuel book manual live comfort cosmo,p rodegast,1987,bantam
125,125,0451147375,blood test,j kellerman,1987,signet
126,126,0553580876,sympathi devil,kent,2000,bantam
127,127,0345441753,crimin intent,b william,2003,fawcett
128,128,0028621239,complet idiot guid knit crochet,gail,1999,alpha
129,129,055326396X,arctic dream imagin desir northern landscap,b lopez,1993,bantam
130,130,0440234824,sibyl grave,c sarah,2001,company
131,131,0373835426,witchcraft,krentz,2003,harlequin
132,132,0380804670,silent servic lo angel class,h riker,2001,avon
133,133,8807810360,una donna,aleramo,1990,feltrinelli
134,134,8466302263,el ultimo judio punto de lectura,g noah,2003,de
135,135,0812504364,connecticut yank king arthur court,twain,1997,tor
136,136,9500703203,el amor en lo tiempo del colera love time cholera,g marquez,1987,sudamericana
137,137,9679787834,vermillion eye chiller thriller shock bone,halim,2000,pelanduk
138,138,0451195507,judg time april woo suspen novel paperback,g leslie,1999,signet
139,139,3404920910,im wald der gehenkten fã ãâ¼chse,paasilinna,2001,lã
140,140,0394712447,method zen,e herrigel,1974,vintage
141,141,0671722727,king lear,william,1993,washington
142,142,3502517959,die spinn und da mã ãâ¤dchen,schallingher,2001,scherz
143,143,0812530489,time war,poul,1986,tor
144,144,0375726624,newjack guard sing sing vintag,c ted,2001,vintage
